Pickup Date,Month,Origin Zip,Destination Zip,Pieces,Weight,Commodity Class,Base Retail,R/ Lift Gate Delivery,R/ Fuel Surcharge,Billed
8/3/17,Aug,75261,L3P2L8,1,318,125,246.63,,29.35,$376.05 
4/28/17,Apr,75261,27616,3,2401,60,247.55,,53.47,$301.02 
12/19/17,Dec,75261,93706,2,1761,65,249.05,,57.79,$317.27 
7/7/17,Jul,75261,46705,1,1519,60,249.85,,28.99,$278.84 
12/28/17,Dec,75261,29609,2,2430,65,250.62,,58.89,$309.51 
3/15/17,Mar,75261,38118,6,7536,60,251.03,,53.97,$305.00 
11/22/17,Nov,75261,46705,1,1848,65,251.15,,58.26,$309.41 
12/21/17,Dec,75261,53545,2,2409,65,251.31,,58.05,$309.36 
11/17/17,Nov,75261,99224,1,1509,65,254.01,,58.93,$312.94 
7/10/17,Jul,75261,38118,3,2530,60,260.3,,30.45,$290.75 
2/13/17,Feb,75261,89506,2,2908,60,260.67,,55.78,$316.45 
9/15/17,Sep,75261,84651,2,2133,65,263.42,,59.54,$322.96 
10/17/17,Oct,75261,89506,2,1729,65,264.25,,59.46,$323.71 
8/9/17,Aug,75261,89506,2,1757,60,264.56,,56.88,$321.44 
7/31/17,Jul,75261,89441,2,1912,65,264.68,,55.85,$320.53 
1/13/17,Jan,75261,78758,3,3904,60,265.27,,33.16,$298.43 
4/7/17,Apr,75261,49098,2,2756,60,266.61,,57.05,$323.66 
4/18/17,Apr,75261,38118,6,8469,60,269.14,,57.86,$327.00 
6/15/17,Jun,75261,29609,1,1770,60,270.35,,54.39,$324.74 
10/20/17,Oct,75261,46705,2,2202,65,273.03,,61.44,$334.47 
9/27/17,Sep,75261,93446,3,2134,65,273.95,51.75,61.64,$394.13 
10/11/17,Oct,75261,29609,3,2727,65,277.09,,62.35,$339.44 
9/12/17,Sep,75261,83716,2,2225,65,280.31,,63.06,$343.37 
2/27/17,Feb,75261,29609,2,1945,60,281.81,,34.94,$316.75 
9/29/17,Sep,75261,53545,3,2349,65,283.81,,63.86,$347.67 
7/27/17,Jul,75261,89506,1,1410,65,284.23,,59.97,$344.20 
9/27/17,Sep,75261,93446,2,2217,65,284.6,,64.03,$355.42 
9/27/17,Sep,75261,93446,2,2217,65,284.6,,64.03,$355.42 
5/25/17,May,75261,53545,1,1833,60,287,,35.01,$322.01 
10/18/17,Oct,75261,90631,2,2553,65,287.43,,64.68,$360.10 
9/7/17,Sep,75261,89506,2,2198,65,287.55,,64.41,$351.96 
11/30/17,Nov,75261,71227,4,5908,65,290.52,,67.4,$357.92 
9/22/17,Sep,75261,48071,2,2285,65,290.65,,65.4,$356.05 
4/27/17,Apr,75261,28731,5,5468,60,291.12,,62.88,$354.00 
12/29/17,Dec,75261,90745,2,2591,65,291.71,,67.39,$369.39 
11/21/17,Nov,75261,91744,2,2603,65,293.05,,67.99,$371.33 
10/20/17,Oct,75261,83716,2,2351,65,295.96,,66.6,$362.56 
3/8/17,Mar,75261,61554,3,2414,60,296.2,,37.03,$333.23 
1/26/17,Jan,75261,53547,2,3025,60,297.25,,63.76,$361.01 
7/14/17,Jul,75261,32808,2,712,125,297.49,,59.14,$368.63 
11/30/17,Nov,75261,53545,3,2916,65,298.94,,69.36,$368.30 
12/20/17,Dec,75261,18643,2,1830,65,303.09,,70.32,$384.91 
12/21/17,Dec,75261,19006,3,1963,65,303.09,,70.32,$384.91 
3/24/17,Mar,75261,89506,2,2353,60,303.99,,64.75,$368.74 
9/19/17,Sep,75261,83716,2,2427,65,305.53,,69.05,$374.58 
9/27/17,Sep,75261,97124,1,1816,65,305.6,,68.76,$374.36 
4/27/17,Apr,75261,89506,3,2175,60,306.37,,66.17,$372.54 
